processed_url,url_length,label
http  ripperzskatepark com,53,0.0
http  genius com,148,1.0
https  dribbble com,110,1.0
http  pitchfork com,89,1.0
http  buzzfil net,103,1.0
http espn go com,178,1.0
http  codecanyon net,94,1.0
http  torcache net,160,1.0
http us.battle.net.login.en rrweb asia,106,0.0
http  sourceforge net,136,1.0
http  extratorrent cc,99,1.0
http  olx ro,92,1.0
http  pastehtml com,40,0.0
http  correios com.br,121,1.0
http  babal net,341,1.0
http  twitter com,256,1.0
http  allegro pl,260,1.0
http  buzzfil net,117,1.0
http  genius com,115,1.0
http mail awwattana com,83,0.0
http  distractify com,87,1.0
http  otomoto pl,101,1.0
http www refrigeracaosergio com.br,60,0.0
http  motthegioi vn,102,1.0
http  olx ro,104,1.0
http www cristianradu ro,67,0.0
http  thenextweb com,98,1.0
http  inpmall com,100,0.0
http www transkontinental net,38,0.0
http  thenextweb com,144,1.0
http  allegro pl,105,1.0
http  teespring com,86,1.0
http  indianexpress com,129,1.0
http  babal net,220,1.0
http  allrecipes com,106,1.0
http www com-turning com,79,0.0
http  mylust com,87,1.0
http  correios com.br,127,1.0
https  500px com,89,1.0
http  alexbucatarladomiciliu ro,60,0.0
http  thechive com,83,1.0
http  getpocket com,97,1.0
http www folderviews org,48,0.0
http  indianexpress com,86,1.0
http  dantri com.vn,96,1.0
http  torcache net,128,1.0
http  cox com,90,1.0
http  twitter com,262,1.0
http  skyrock com,107,1.0
http  superuser com,86,1.0
http  pastehtml com,40,0.0
http  elitedaily com,86,1.0
http  tunein com,85,1.0
https  twitter com,283,1.0
http www castelloarquitectura com,78,0.0
http  indianexpress com,125,1.0
http  olx ua,96,1.0
http  kevinrynnrealestate com,56,0.0
http  allegro pl,125,1.0
http  aljazeera net,177,1.0
http  emgn com,121,1.0
http  rt com,85,1.0
http us.battle.net.ok qe-rs com,110,0.0
http  udn com,183,1.0
http  plarium com,110,1.0
http  tobogo net,112,1.0
http  himado in,91,1.0
http  ap org,87,1.0
http  sourceforge net,162,1.0
http  hdfcbank com,85,1.0
http  correios com.br,98,1.0
http  indianexpress com,99,1.0
https  instagram com,245,1.0
http  syosetu com,95,1.0
http  distractify com,87,1.0
http  nypost com,91,1.0
http  zozo jp,112,1.0
http  pitchfork com,86,1.0
http www becalvache com,82,0.0
http  pastehtml com,40,0.0
http appleid.apple.co.uk.cgi-bin.webobjects.myappleid.woa.verify1 id-app7 co.uk,201,0.0
http a3daa2-6ikp2huqwu kenstewardministries org,58,0.0
http  grantland com,128,1.0
http  babal net,152,1.0
http  twitter com,253,1.0
http www ponyairset com,71,0.0
http  allrecipes com,85,1.0
http  1337x to,99,1.0
http  interpark com,140,1.0
http  buzzfil net,118,1.0
http  mic com,95,1.0
http  motthegioi vn,84,1.0
http  genius com,265,1.0
http  sofastelectronics com,38,0.0
https  www gov.uk,87,1.0
http  techcrunch com,112,1.0
http  buzzfil net,97,1.0
http  otomoto pl,97,1.0
https  medium com,112,1.0
http us.battle.net.ok ffweb asia,124,0.0
http  kickass to,83,1.0
http  twitter com,300,1.0
http  pz2001 de,42,0.0
http  stackoverflow com,124,1.0
http  torrentdn com,94,1.0
http www soucaipu cn,107,0.0
http  kickass to,85,1.0
https  privatbank ua,84,1.0
http  digg com,102,1.0
http  avxhome se,97,1.0
http  tunein com,117,1.0
http  otomoto pl,87,1.0
http appleid.apple.co.uk.cgi-bin.webobjects.myappleid.woa.verify7 id8-eu co.uk,200,0.0
http  ecnavi jp,91,1.0
http  clien net,135,1.0
http  thenextweb com,111,1.0
http users1 jabry com,53,0.0
http  extratorrent cc,96,1.0
http  emgn com,113,1.0
http  torcache net,131,1.0
http  katproxy com,101,1.0
http  bestlovingjerseys com,40,0.0
http  thenextweb com,117,1.0
http  olx ua,92,1.0
http  elcomercio pe,145,1.0
http  services-runescape-co-c tk,59,0.0
http  superuser com,105,1.0
http  askubuntu com,90,1.0
http  twitter com,390,1.0
http  allegro pl,83,1.0
http  elitedaily com,95,1.0
https  getpocket com,96,1.0
http  aljazeera net,170,1.0
http  sourceforge net,125,1.0
http  olx ro,148,1.0
http rs eego asia,40,0.0
http  seekingalpha com,107,1.0
http  nypost com,97,1.0
http espn go com,103,1.0
http  thenextweb com,129,1.0
http  babal net,117,1.0
http  extratorrent cc,94,1.0
http  thenextweb com,148,1.0
http  correios com.br,113,1.0
http  olx co.id,101,1.0
http  xvideo-jp com,84,1.0
http  fishki net,115,1.0
http  digg com,87,1.0
http  pastehtml com,40,0.0
http  techcrunch com,102,1.0
http  allrecipes com,83,1.0
https  medium com,114,1.0
http  deadspin com,89,1.0
http appleid.apple.co.uk.cgi-bin.webobjects.myappleid.woa.verify5 srv-woa1 co.uk,202,0.0
http  correios com.br,94,1.0
http  censor net.ua,86,1.0
http  mylust com,91,1.0
https  medium com,164,1.0
http 1-configurazione-supporto-apple.store-contatta bimabn com,109,0.0
https  medium com,112,1.0
http  depositphotos com,102,1.0
http  bleacherreport com,116,1.0
http  nguyentandung org,96,1.0
http  distractify com,87,1.0
http  correios com.br,90,1.0
http  rt com,92,1.0
https  eksisozluk com,102,1.0
http  nguyentandung org,92,1.0
http  io9 com,94,1.0
http  motthegioi vn,89,1.0
http  labibliadicemedellin com,81,0.0
http  bestblackhatforum com,108,1.0
http  tune pk,95,1.0
http  olx ua,96,1.0
http  teespring com,122,1.0
http  otomoto pl,104,1.0
http en iigo asia,39,0.0
http  putlocker is,92,1.0
http  plarium com,84,1.0
http  kenh14 vn,106,1.0
http shop.demo webapp dk,150,0.0
http  allegro pl,124,1.0
http  censor net.ua,143,1.0
http  interpark com,146,1.0
http  kotaku com,84,1.0
http www e-wings com.cn,106,0.0
http  thenextweb com,142,1.0
http  torcache net,151,1.0
http  sourceforge net,162,1.0
http  atwiki jp,133,1.0
http espn go com,99,1.0
http www esthermaisch com,93,0.0
http www hanoli com.vn,82,0.0
https  twitter com,137,1.0
http  themeforest net,83,1.0
http  searchengineland com,97,1.0
http  extratorrent cc,116,1.0
http  thenextweb com,99,1.0
http  negociosforestales com,72,0.0
http  nesn com,95,1.0
http  babal net,284,1.0
http www fortefenix com.br,65,0.0
http  mashable com,109,1.0
http  motthegioi vn,125,1.0
http www pousadadospassarosmsp com.br,54,0.0
http  buzzfil net,109,1.0
http  indianexpress com,126,1.0
http  allegro pl,105,1.0
http  indianexpress com,93,1.0
http  sfglobe com,120,1.0
http  mic com,107,1.0
http  themeforest net,96,1.0
http  xvideo-jp com,184,1.0
http  ringring vn,93,1.0
http  aljazeera net,132,1.0
http  smallseotools com,85,1.0
http  dateport com,48,0.0
http  twitter com,271,1.0
http  xvideo-jp com,84,1.0
http  atwiki jp,88,1.0
http  kenh14 vn,96,1.0
http  mylust com,99,1.0
http  ringring vn,87,1.0
http  themeforest net,101,1.0
http  babal net,166,1.0
http  viajeskymbo com,52,0.0
http vps 01hostings com,135,0.0
http  aljazeera net,285,1.0
http  tobogo net,108,1.0
http  torcache net,142,1.0
http  genius com,164,1.0
http  olx co.id,85,1.0
http  torcache net,143,1.0
http  depositphotos com,185,1.0
http  thenextweb com,129,1.0
http  extratorrent cc,97,1.0
https  myspace com,88,1.0
http  elitedaily com,99,1.0
http  mixi jp,135,1.0
http  maybank2u com.my,179,1.0
http distrimarsanitarios soydg com,92,0.0
http www 1saintanddier15-registrosj com,42,0.0
http  dantri com.vn,105,1.0
http  babal net,148,1.0
http  cookpad com,86,1.0
http  caixa gov.br,123,1.0
http  allegro pl,110,1.0
https  ecnavi jp,223,1.0
http  thenextweb com,97,1.0
http kundenserver-de-mc-visa.org tr vu,41,0.0
http  1337x to,83,1.0
http  depositphotos com,115,1.0
http  mirtesen ru,137,1.0
http  web de,92,1.0
http  kickass to,87,1.0
http  madisonbass com,67,0.0
http  kickass to,100,1.0
http  ameblo jp,90,1.0
http  extratorrent cc,95,1.0
http  allegro pl,122,1.0
http  tune pk,104,1.0
https  84.203.152.12 ,260,0.0
http  tobogo net,106,1.0
http  slashdot org,125,1.0
http  metro co.uk,126,1.0
http  stackoverflow com,98,1.0
http  conservativetribune com,95,1.0
https  myspace com,96,1.0
http  torcache net,145,1.0
http  torcache net,134,1.0
http www maquinaval org.ar,151,0.0
http  megogo net,84,1.0
http www refriautoartiles com,275,0.0
http www mobilegamehouse com,60,0.0
http  elitedaily com,94,1.0
http noticias uol com.br,139,1.0
http www wgfitness com.au,66,0.0
http esporte uol com.br,104,1.0
http  allegro pl,114,1.0
http  allrecipes com,94,1.0
http www naylorantiques com,77,0.0
http appleid.apple.co.uk.cgi-bin.webobjects.myappleid.woa.verify1 id8-eu net,198,0.0
http  squarespace com,99,1.0
http  interpark com,129,1.0
http appleid.apple.co.uk.cgi-bin.webobjects.myappleid.woa.verify8 eu-id3 net,198,0.0
http  babal net,148,1.0
http  castillatelecom com,55,0.0
http  uproxx com,208,1.0
http  kenh14 vn,99,1.0
http  codecanyon net,94,1.0
http  metro co.uk,132,1.0
http  allsystems cl,84,0.0
https  500px com,115,1.0
http  ink361 com,91,1.0
http  kienthuc net.vn,103,1.0
http  nypost com,88,1.0
http  techcrunch com,116,1.0
http  torcache net,143,1.0
http www yage168 cn,66,0.0
http  ringring vn,97,1.0
http  mic com,89,1.0
http skvs stedu net,110,0.0
http  metro co.uk,129,1.0
http www miraflor be,51,0.0
http  olx ua,88,1.0
http  doodle com,87,1.0
http  buzzfil net,135,1.0
http  motthegioi vn,87,1.0
http  udn com,182,1.0
http  wikimapia org,95,1.0
http appleid.apple.co.uk.cgi-bin.webobjects.myappleid.woa.verify4 eu-id3 net,198,0.0
http  diply com,85,1.0
http  buzzfil net,132,1.0
http  elitedaily com,97,1.0
http  olx ro,87,1.0
https  prezi com,84,1.0
http  extratorrent cc,119,1.0
http  sfglobe com,118,1.0
https  500px com,98,1.0
http www baxterps vic.edu.au,83,0.0
http  codecanyon net,101,1.0
http  indianexpress com,97,1.0
http  japanesecookingvideos com,49,0.0
http  distractify com,87,1.0
http  216.240.136.203 ,153,0.0
http digilander libero it,49,0.0
http  hubpages com,86,1.0
http  rocketnews24 com,233,1.0
http  kenh14 vn,102,1.0
http www skuexpress com,109,0.0
http espn go com,120,1.0
http  pastehtml com,40,0.0
http  akhbarelyom com,115,1.0
http  mic com,110,1.0
http www fortefenix com.br,65,0.0
http  kenh14 vn,101,1.0
http  variety com,111,1.0
http www pioneerpostcards ca,50,0.0
http  indianexpress com,91,1.0
http  searchengineland com,87,1.0
http  babal net,250,1.0
http  thenextweb com,89,1.0
http  emgn com,83,1.0
http  torcache net,142,1.0
http fr-service-espaceclientv3orangefridcontrat3346529pagenec holismo com.br,213,0.0
http www bluejacketsoftware com,73,0.0
http  babal net,219,1.0
http  twitter com,103,1.0
http  momoshop com.tw,123,1.0
http  pastehtml com,40,0.0
http  putlocker is,93,1.0
http  unity3d com,94,1.0
http  aljazeera net,113,1.0
http  motthegioi vn,105,1.0
http  torcache net,137,1.0
http  lemans com.bo,59,0.0
http  thenextweb com,114,1.0
http  distractify com,87,1.0
http  onedio com,99,1.0
http  desit com.my,57,0.0
http  themeforest net,96,1.0
http  olx co.id,98,1.0
https spreadsheets google com,95,0.0
http  kickass to,105,1.0
http  moviepilot com,115,1.0
http  pornsharing com,84,1.0
http  depositphotos com,103,1.0
http  huaruisolar com.cn,105,0.0
https  instagram com,249,1.0
https  twitter com,224,1.0
http  tobogo net,105,1.0
http  fazenda gov.br,140,1.0
http  serverfault com,91,1.0
http drive-google-com fanalav com,69,0.0
http  allegro pl,93,1.0
http  tobogo net,111,1.0
http  babal net,94,1.0
http  buzzfil net,170,1.0
http  buzzfil net,120,1.0
https  wordpress org,84,1.0
http  emgn com,90,1.0
http  depositphotos com,97,1.0
http  jezebel com,94,1.0
http  babal net,186,1.0
http  indianexpress com,87,1.0
http  grantland com,129,1.0
http  wpengine com,102,1.0
http  maybank2u com.my,141,1.0
http  elitedaily com,86,1.0
http  skyrock com,125,1.0
http  comicpants com,76,0.0
http  jezebel com,92,1.0
http  searchengineland com,88,1.0
http  taesx com,75,0.0
https  medium com,95,1.0
http  metro co.uk,109,1.0
http  torcache net,161,1.0
http  techcrunch com,113,1.0
http  otomoto pl,98,1.0
http  taboola com,105,1.0
http  superuser com,106,1.0
https  myspace com,84,1.0
http  getpocket com,107,1.0
http www sunilkhambe in,63,0.0
http fb.com.accounts.login.userid.389526 fbsbk com,53,0.0
http  sourceforge net,147,1.0
http  persianblog ir,138,1.0
http  babal net,260,1.0
http  plarium com,104,1.0
http  yourlust com,97,1.0
http  interpark com,135,1.0
http joyce.shelton.home comcast net,38,0.0
http  slashdot org,92,1.0
http  kenh14 vn,92,1.0
http  searchengineland com,105,1.0
http www redirectalink com,124,0.0
http  phics-it co.uk,76,0.0
http  ringring vn,91,1.0
http  allegro pl,93,1.0
http 1-configurazione-supporto-apple.store-contatta bimabn com,109,0.0
http  wpengine com,103,1.0
http  mixi jp,134,1.0
http  emgn com,87,1.0
http  depositphotos com,99,1.0
http  olx co.id,95,1.0
http www clos-alesia com,94,0.0
http andrewbiggs claudiudaniel ro,84,0.0
http  consultanutricionalvidasana cl,85,0.0
http  pornsharing com,93,1.0
http  depositphotos com,140,1.0
http  mic com,113,1.0
http  mediaset it,90,1.0
http  metro co.uk,98,1.0
http  babal net,223,1.0
http  bdnews24 com,83,1.0
http  torcache net,165,1.0
http  serverfault com,99,1.0
http  icicibank com,93,1.0
http  twitter com,361,1.0
http  caixa gov.br,119,1.0
http  tobogo net,111,1.0
http  indianexpress com,126,1.0
http  persianblog ir,83,1.0
http  pastehtml com,40,0.0
http  metro co.uk,142,1.0
http  plarium com,88,1.0
http  jezebel com,92,1.0
https  twitter com,228,1.0
http  mediaset it,89,1.0
http facebook.com.accounts.login.userid55493d5ds52 fs32 info,128,0.0
http  themeforest net,88,1.0
http  censor net.ua,129,1.0
http  pastehtml com,40,0.0
http  udn com,173,1.0
http  mylust com,97,1.0
http  nesn com,90,1.0
https  tune pk,103,1.0
http  olx ro,98,1.0
http  bestblackhatforum com,87,1.0
https  twitter com,272,1.0
http  tunein com,101,1.0
http www viverelagheula net,182,0.0
http  seekingalpha com,93,1.0
http  manager co.th,118,1.0
https  medium com,147,1.0
http  wikiwiki jp,119,1.0
http  otomoto pl,88,1.0
http  censor net.ua,118,1.0
http  superuser com,95,1.0
http  emgn com,89,1.0
http  distractify com,87,1.0
http www apancura cl,42,0.0
http  motthegioi vn,94,1.0
https  prezi com,91,1.0
http  tinnhanh360 net,95,1.0
http  mashable com,88,1.0
http  tobogo net,108,1.0
http g0fkf39ffkdvgntdz blogspot com,38,0.0
http  mediaset it,93,1.0
http  graphicriver net,83,1.0
http  olx co.id,109,1.0
http  jalopnik com,112,1.0
http  codecanyon net,92,1.0
http  torcache net,186,1.0
http appleid.apple.co.uk.cgi-bin.webobjects.myappleid.woa.verify3 id-app7 co.uk,201,0.0
http  tobogo net,104,1.0
http  extratorrent cc,128,1.0
http  indianexpress com,112,1.0
http  katproxy com,111,1.0
http  slashdot org,95,1.0
http  thenextweb com,91,1.0
http  torcache net,155,1.0
http  teespring com,122,1.0
http  techcrunch com,101,1.0
http  pastehtml com,40,0.0
http  babal net,338,1.0
http www winpeace jp,49,0.0
https  medium com,100,1.0
http  teespring com,101,1.0
http  distractify com,119,1.0
http www baixarxbox360 com,58,0.0
http  torcache net,148,1.0
http  babal net,113,1.0
http  sourceforge net,133,1.0
http www id-app7 co.uk,144,0.0
http  bigcinema tv,97,1.0
http  martaaguiar com,39,0.0
http  nesn com,90,1.0
http  thenextweb com,120,1.0
http  torrentdn com,103,1.0
http  momoshop com.tw,123,1.0
http us.battle.net.en xx-rs com,111,0.0
http  screenrant com,85,1.0
http  thechive com,84,1.0
http  pikabu ru,104,1.0
https  medium com,121,1.0
http  tunein com,90,1.0
http  torcache net,158,1.0
http  bestblackhatforum com,102,1.0
http  doodle com,87,1.0
http www asideal com,121,0.0
https  medium com,84,1.0
http  shannuodianqi com,105,0.0
http  akhbarelyom com,86,1.0
http  thechive com,91,1.0
http  akhbarelyom com,115,1.0
http  extratorrent cc,137,1.0
http  motthegioi vn,102,1.0
http  pastehtml com,40,0.0
http  biomall bg,54,0.0
http  icicibank com,84,1.0
http  haberler com,86,1.0
http  innovationfriends com.ua,64,0.0
http  thenextweb com,96,1.0
http  mirtesen ru,162,1.0
http  searchengineland com,98,1.0
http  babal net,185,1.0
http  grantland com,105,1.0
http  olx co.id,89,1.0
http  nypost com,84,1.0
http santandr suprnet-line net,57,0.0
http  mylust com,89,1.0
http www serversunucu com,75,0.0
http appleid.apple.co.uk.cgi-bin.webobjects.myappleid.woa.verify4 id-app7 co.uk,201,0.0
http  elitedaily com,101,1.0
http www eu-id3 net,141,0.0
http  thenextweb com,120,1.0
http digilander libero it,41,0.0
http  motthegioi vn,105,1.0
http  teespring com,118,1.0
http  superuser com,129,1.0
http  kakaku com,83,1.0
http www.edfclients powa fr,65,0.0
http  akhbarelyom com,86,1.0
http  allegro pl,93,1.0
http  pastehtml com,40,0.0
http  putlocker is,88,1.0
http www com-turning com,69,0.0
http www.rapidmaster yoyo pl,40,0.0
http amazon de-kundenservice-konto2942 de,126,0.0
http  deadspin com,126,1.0
http  olx ro,138,1.0
http  motthegioi vn,86,1.0
http  kickass to,85,1.0
http  pastehtml com,40,0.0
http  pornsharing com,94,1.0
http  torcache net,126,1.0
http www paypals-account-limitationteam com,73,0.0
http  io9 com,89,1.0
http  yourlust com,95,1.0
http  slashdot org,100,1.0
http  ecnavi jp,100,1.0
http  kenh14 vn,87,1.0
http  motthegioi vn,88,1.0
http  sberbank ru,116,1.0
http www thinkgeeks4u com,71,0.0
http  nguyentandung org,90,1.0
http www fumdepaz com,45,0.0
http  torcache net,142,1.0
http  sberbank ru,96,1.0
http  bestblackhatforum com,121,1.0
